name,Jaar,Jonger dan 5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder
"Nuenen, Gerwen en Nederwetten",2017,1032,1110,1324,1416,998,4224,7076,4476,1210
Nunspeet,2017,1557,1627,1755,1834,1572,5964,7337,3876,1370
Nuth,2017,579,681,703,784,696,3040,4843,2985,994
Oegstgeest,2017,1304,1465,1529,1521,1013,5184,6867,3407,1318
Oirschot,2017,838,891,1086,1240,1048,3688,5968,2818,922
Oisterwijk,2017,1087,1357,1515,1634,1325,5225,7806,4429,1558
Oldambt,2017,1552,1789,2152,2147,1738,7827,11993,6764,2146
Oldebroek,2017,1297,1451,1511,1540,1331,5270,6723,3115,1018
Oldenzaal,2017,1531,1862,2074,1930,1498,7144,9044,5256,1667
Olst-Wijhe,2017,825,943,1146,1183,923,3613,5682,2758,884
Ommen,2017,911,1017,1079,1070,837,3821,5101,2817,878
Onderbanken,2017,301,320,409,484,345,1567,2691,1341,407
Oost Gelre,2017,1307,1532,1889,2116,1457,6096,9174,4663,1400
Oosterhout,2017,2581,2782,3090,3289,2742,12030,16355,9138,2597
Ooststellingwerf,2017,1143,1315,1435,1601,1165,5284,7798,4339,1460
Oostzaan,2017,483,484,592,633,521,2073,2960,1460,446
Opmeer,2017,506,601,776,760,688,2439,3324,1841,485
Opsterland,2017,1328,1721,1986,2006,1476,5980,9219,4527,1475
Oss,2017,4376,4589,5247,5754,5018,21319,26911,13161,4001
Oud-Beijerland,2017,1250,1403,1566,1581,1185,5330,6976,3624,1100
Oude IJsselstreek,2017,1684,1991,2395,2570,1924,7834,12396,6672,2102
Ouder-Amstel,2017,701,768,903,849,572,2774,4156,2017,679
Oudewater,2017,560,591,640,654,563,2217,2933,1553,476
Overbetuwe,2017,2583,2822,3241,3327,2170,10524,14202,6774,1751
Papendrecht,2017,1655,1831,1897,2063,1714,7301,9015,5236,1580
Peel en Maas,2017,1895,2128,2463,2603,2329,9387,13517,7023,2002
Pekela,2017,637,630,641,746,638,2871,3682,2075,597
Pijnacker-Nootdorp,2017,3018,3756,4205,3708,2779,12314,15403,5629,1844
Purmerend,2017,3658,3973,4572,4963,4625,18822,24256,11163,3896
Putten,2017,1315,1456,1577,1616,1446,5517,6727,3552,1222
Raalte,2017,1763,1967,2291,2333,1948,7489,11512,5656,1948
Reimerswaal,2017,1568,1630,1572,1477,1393,5499,5513,2677,1027
Renkum,2017,1231,1613,1866,1735,1181,5681,9739,5984,2361
Renswoude,2017,392,342,400,355,298,1280,1284,624,126
Reusel-De Mierden,2017,690,726,722,699,712,3104,3948,1825,482
Rheden,2017,1776,2096,2341,2540,2165,8867,12675,7827,3358
Rhenen,2017,1052,1237,1337,1228,1003,4273,5389,3075,1003
Ridderkerk,2017,2193,2226,2247,2495,2457,9781,13079,8023,2907
Rijnwaarden,2017,474,558,628,671,503,2240,3570,1748,460
Rijssen-Holten,2017,2438,2620,2775,2657,2292,8773,9644,4956,1828
Rijswijk,2017,3024,2544,2228,2189,2506,13477,13628,7949,3482
Roerdalen,2017,796,891,1016,1091,877,4068,6833,4003,1125
Roermond,2017,2743,2906,2916,3105,2978,14446,16887,8685,2724
De Ronde Venen,2017,1863,2275,2741,2919,2128,8554,13759,6573,1951
Roosendaal,2017,3844,3964,4271,4605,4313,17540,22821,12033,3772
Rotterdam,2017,37317,34439,31679,35086,50319,192900,156875,69999,26046
Rozendaal,2017,50,89,111,106,44,194,495,280,129
Rucphen,2017,886,924,1012,1188,1161,4651,7718,3825,980
Schagen,2017,1887,2583,2851,2953,2366,9504,13589,8307,2153
Scherpenzeel,2017,669,645,608,713,579,2272,2443,1375,400
Schiedam,2017,4227,4237,4114,4481,4986,21135,21376,9809,3473
Schiermonnikoog,2017,29,36,45,47,45,186,292,197,64
Schinnen,2017,526,560,666,711,611,2517,4114,2502,747
Schouwen-Duiveland,2017,1416,1573,1827,1938,1517,6500,10185,6574,2235
Simpelveld,2017,377,473,540,538,458,2144,3417,2040,584
Sint Anthonis,2017,483,540,708,840,612,2234,3828,1641,708
Sint-Michielsgestel,2017,1311,1613,1837,1899,1323,5843,8750,4533,1475
Sittard-Geleen,2017,3695,3974,4371,5185,4913,20735,29581,15392,5473
Sliedrecht,2017,1556,1530,1476,1540,1446,6265,6404,3427,1368
Slochteren,2017,668,813,932,982,635,2947,4891,2284,585
Sluis,2017,946,977,1127,1179,1093,4707,7226,4719,1684
Smallingerland,2017,2802,3144,3452,3704,2811,12749,15810,8471,2752
Soest,2017,2164,2627,2911,2976,2136,9480,13474,7539,2567
Someren,2017,937,820,1072,1189,1169,4258,5932,2765,894
Son en Breugel,2017,867,963,1056,1052,733,3519,4689,2590,1157
Stadskanaal,2017,1414,1616,1785,1936,1517,6717,9469,5736,2062
Staphorst,2017,1228,1278,1340,1379,1064,3860,4034,1898,610
Stede Broec,2017,1152,1155,1339,1479,1128,4852,6031,3660,756
Steenbergen,2017,1023,1119,1293,1309,1426,5382,7432,3863,1123
Steenwijkerland,2017,2182,2220,2693,2864,2064,9267,12983,6916,2259
Stein,2017,880,1003,1309,1370,1048,5002,8130,4937,1380
Stichtse Vecht,2017,3465,3857,3859,3814,3057,14439,19705,9575,2679
Strijen,2017,332,353,496,568,468,1810,2869,1490,399
Súdwest-Fryslân,2017,4101,4791,5421,5527,3982,17732,24788,13757,4059
Terneuzen,2017,2482,2629,2895,3063,2465,11703,16244,9817,3290
Terschelling,2017,183,202,208,350,456,1025,1360,850,225
Texel,2017,549,601,748,852,633,2588,4397,2520,657
Teylingen,2017,1704,1990,2426,2587,1861,7783,11023,4881,1838
Tholen,2017,1471,1622,1662,1740,1555,5714,7081,3574,1108
Tiel,2017,2058,2294,2650,2818,2409,10166,12077,5512,1504
Tilburg,2017,10672,10969,11097,13223,19475,58183,55469,26621,8095
Tubbergen,2017,1015,1194,1552,1623,1302,4299,6470,2762,936
Twenterand,2017,1882,2213,2419,2317,1808,7718,9516,4659,1313
Tynaarlo,2017,1744,1873,2086,2046,1072,6244,10417,5610,2188
Tytsjerksteradiel,2017,1529,1842,2085,2072,1505,6612,9210,5428,1680
Uden,2017,2042,2206,2476,2563,2094,9860,11770,6420,1953
Uitgeest,2017,718,783,874,941,732,3113,4032,1762,510
Uithoorn,2017,1481,1673,1817,1966,1460,6816,8664,3937,1387
Urk,2017,1944,2029,1845,1793,1603,5326,3848,1464,368
Utrecht,2017,22364,19844,17224,17263,37422,122684,71237,26297,8703
Utrechtse Heuvelrug,2017,2255,2558,3053,3315,2252,9180,14888,8198,3336
Vaals,2017,317,352,368,531,510,1732,3297,1983,620
Valkenburg aan de Geul,2017,534,641,720,867,733,3065,5323,3367,1190
Valkenswaard,2017,1263,1360,1582,1724,1480,6401,9246,5584,1876
Veendam,2017,1246,1500,1519,1686,1321,5984,8343,4479,1449
Veenendaal,2017,3864,4053,4221,4359,3660,15985,17114,8421,2600
Veere,2017,1068,1071,1196,1414,1009,4101,6489,4267,1285
Veldhoven,2017,2172,2235,2559,2642,2215,10332,13396,6910,2263
Velsen,2017,3310,3357,3809,4533,3804,14812,20684,9641,3669
Venlo,2017,4631,4979,5325,5708,5726,23812,30082,15592,5204
Venray,2017,2004,2178,2530,2865,2313,9787,13336,6692,1860
Vianen,2017,1012,1101,1248,1218,1047,4499,5635,3106,848
Vlaardingen,2017,3971,3810,3745,3878,4127,17944,19523,10875,4126
Vlagtwedde,2017,634,801,807,963,696,3017,5007,2985,998
Vlieland,2017,31,42,64,46,80,247,370,160,45
Vlissingen,2017,2022,2246,2320,2402,2676,10350,12476,7387,2515
Voerendaal,2017,536,552,611,705,520,2334,3971,2484,749
Voorschoten,2017,1378,1543,1606,1555,1073,5287,7176,4075,1622
Voorst,2017,1189,1256,1383,1504,1196,4626,7613,4073,1359
Vught,2017,1386,1596,1525,1547,1183,5767,7944,3756,1479
Waalre,2017,857,986,1028,1043,650,3348,4982,2878,1126
Waalwijk,2017,2325,2425,2588,2711,2385,11588,13616,7512,2260
Waddinxveen,2017,1476,1475,1584,1671,1455,6189,7436,3990,1260
Wageningen,2017,1493,1621,1747,2558,6245,10225,8651,4225,1693
Wassenaar,2017,1075,1582,1829,1806,987,4374,7816,4553,2033
Waterland,2017,810,942,1052,969,823,3301,5391,3121,881
Weert,2017,2265,2304,2559,2956,2685,10947,14922,8297,2639
Weesp,2017,1007,1031,1022,992,851,4628,5552,2692,976
Werkendam,2017,1437,1674,1737,1736,1503,6035,7584,4012,1126
West Maas en Waal,2017,821,969,1029,1212,923,3921,6197,2910,838
Westerveld,2017,721,819,1107,1132,708,3356,6114,3858,1269
Westervoort,2017,696,767,811,912,796,3340,5066,2050,553
Westland,2017,5399,6010,6338,6571,6688,25095,29935,14969,4627
Weststellingwerf,2017,1185,1317,1492,1562,1180,5389,7666,4305,1512
Westvoorne,2017,505,645,765,852,606,2520,4663,2708,993
Wierden,2017,1336,1444,1594,1565,1288,5370,6817,3714,1097
Wijchen,2017,1872,2254,2649,2670,1924,8880,12658,6343,1626
Wijdemeren,2017,999,1202,1448,1483,923,4208,7589,4265,1330
Wijk bij Duurstede,2017,1187,1273,1464,1592,1170,4924,7715,3413,764
Winsum,2017,628,827,935,894,573,2608,4216,2296,619
Winterswijk,2017,1202,1470,1810,1797,1481,6050,8768,4712,1622
Woensdrecht,2017,944,1057,1172,1305,1037,4539,6721,4060,1002
Woerden,2017,2899,3207,3416,3488,2550,12162,14661,7092,2038
De Wolden,2017,1049,1165,1482,1620,1123,4373,7523,3967,1442
Wormerland,2017,603,766,939,1090,843,3061,4935,2781,802
Woudenberg,2017,803,847,913,881,676,2839,3385,1774,583
Woudrichem,2017,717,829,945,920,732,3227,4331,2203,635
Zaanstad,2017,8479,8667,8906,9200,8523,39477,43225,20925,6277
Zaltbommel,2017,1611,1804,1960,1921,1582,6314,7714,3746,1076
Zandvoort,2017,676,732,814,818,768,3521,5226,3297,1047
Zederik,2017,874,852,851,927,868,3145,3765,1953,607
Zeewolde,2017,1193,1357,1716,1780,1522,5439,6850,2046,554
Zeist,2017,3520,3663,3960,3909,3379,14407,17160,9145,3687
Zevenaar,2017,1462,1612,1810,1797,1528,7070,9461,6019,1620
Zoetermeer,2017,6848,7336,7190,7419,7226,30868,36438,16964,4474
Zoeterwoude,2017,359,433,510,543,462,1724,2671,1288,377
Zuidhorn,2017,1104,1247,1326,1290,799,4097,5358,2892,746
Zuidplas,2017,2302,2446,2621,2759,2278,9235,12544,5671,1612
Zundert,2017,939,920,1044,1321,1268,4663,6995,3318,1189
Zutphen,2017,1994,2599,3050,3161,2256,10501,14299,7303,2177
Zwartewaterland,2017,1455,1603,1670,1710,1333,5375,5571,2833,759
Zwijndrecht,2017,2315,2471,2452,2544,2437,10352,12086,7162,2598
Zwolle,2017,7646,7810,7508,7444,8472,35936,31950,14039,4743
